Construct IDs,p65 Average Z-score,VP64 Average Z-score,olfactory_gene
A1BG,-0.21405122056540418,0.4764474805322104,False
A1CF,-0.5620508734462509,-1.236261868990542,False
A2M,0.5582844768845112,1.0236156722077596,False
A2ML1,0.24450311692438237,0.28971128743019103,False
A3GALT2,0.8601058686295551,1.0532321643545044,False
A4GALT,0.42249509877271774,-0.0558803272450244,False
A4GNT,0.2796230317055639,0.26161343274437066,False
AAAS,-0.22320014333555668,0.30510917954378386,False
AACS,-0.36683373348568266,-0.5958358555550722,False
AADAC,0.003489482042420111,-0.28258911161497735,False
AADACL2,0.221563875990427,-0.546926356061719,False
AADACL3,0.5716088559461342,0.8932789634576755,False
AADACL4,-0.020654376105767258,0.22813809186636147,False
AADAT,0.2794204574635607,0.4960954180336481,False
AAK1,0.5270227790405879,0.17508909541626172,False
AAMDC,0.42747002230220743,0.08230415930311163,False
AAMP,-0.4369473438628422,0.7286019381183417,False
AANAT,0.6572996426578895,0.31982905077738394,False
AARD,0.551501712126663,-0.14567120925026972,False
AARS1,-0.9511700794906697,-0.8956955776688817,False
AARS2,0.22400227207166035,0.32386267899705923,False
AARSD1,-0.7989364239828363,-0.7957884081470785,False
AASDH,-0.7545913813289553,-0.7851466576336239,False
AASS,0.5997244255065604,0.7309050504317156,False
AATF,-0.8476496003584449,-1.0222165288494658,False
AATK,-0.9507208536503708,-0.7944345427149666,False
ABAT,-2.015814429731859,-1.2536935874620614,False
ABCA1,0.4189208495152769,-0.09118885366744423,False
ABCA10,-0.6988236580431098,0.0217765342772831,False
ABCA12,0.37825044738222136,0.36131016873045596,False
ABCA13,0.07234022274448415,-0.5235000257636878,False
ABCA2,-0.014246680815985013,-0.7281186101510958,False
ABCA3,0.1172641073103543,-0.05147395348137107,False
ABCA4,-0.5795512975427201,-0.08661185509271731,False
ABCA5,-0.9784192101334626,-0.7840233312496161,False
ABCA6,-0.024652738056499146,0.4709959046401,False
ABCA7,-0.17004582273784719,-0.2364220860049705,False
ABCA8,-0.41140007333653156,0.07665855050709366,False
ABCA9,0.24852164749567593,-0.40142632107294574,False
ABCB1,-0.019530497460414756,-0.2063911217646086,False
ABCB10,0.23948642135012185,0.40718099911334227,False
ABCB11,-0.6011445549021471,-0.4938451053048696,False
ABCB4,0.03839292356922122,-0.22084454879508103,False
ABCB5,-0.015537689828874546,0.1524134236510611,False
ABCB6,-0.6572560937580154,0.06080174376646724,False
ABCB7,0.06626304305545194,-0.1315722159684194,False
ABCB8,0.9182361642673111,0.8780291985580906,False
ABCB9,-0.03520981458683034,-0.45245740143527124,False
ABCC1,-0.20554361814919275,-0.08717948331547068,False
ABCC10,-1.9632335349221193,-1.2137863866440883,False
ABCC11,-1.193188010937956,-0.6031172438159806,False
ABCC12,-0.01937263305973047,0.24276184365790815,False
ABCC2,0.7537225338698642,0.07102653373852283,False
ABCC3,0.33702972920001323,0.16261138300894915,False
ABCC4,-0.6887732411400534,-1.3234786361737454,False
ABCC5,-0.38714221687287137,0.024962523190064728,False
ABCC6,0.5931758664860161,0.33592355112184386,False
ABCC8,-0.9985465580044188,-0.5932987987465943,False
ABCC9,-0.27150198306015844,-0.4781789829929023,False
ABCD1,0.6723323049116465,0.42546226612235194,False
ABCD2,1.149621744400172,0.7968404145622107,False
ABCD3,0.40267090053032034,-0.10394697230216451,False
ABCD4,0.13609289648770018,-0.11356518421653702,False
ABCF1,-0.5304159745009074,0.342450068525022,False
ABCF2,-0.020353531622731444,0.03647621062505706,False
ABCF3,-1.0384504775400856,-1.1653018750477266,False
ABCG2,-2.7710151963419407,-2.05649818324843,False
ABCG4,-0.29744562423842014,0.7946175843719477,False
ABCG5,-0.4288305077909298,-0.16832681495371254,False
ABHD1,-0.5196941055671735,-1.0471869383215857,False
ABHD10,-0.10878599252400345,0.0058634367107759655,False
ABHD11,-0.3186476819441137,-0.7225601886868533,False
ABHD12,-1.6520156374092327,-1.2718044083472746,False
ABHD12B,-0.6189603466810476,-1.167935689047731,False
ABHD13,-1.118184105118805,-0.7419474509900312,False
ABHD14A-ACY1,-0.067576884640071,-0.38338924998325047,False
ABHD14B,-0.8134599828450733,-1.3519988788953177,False
ABHD16A,-1.7233537848254978,-2.2182231761996887,False
ABHD16B,-0.1899027789838616,0.31687919067355275,False
ABHD17A,0.1915580034210655,-0.14512332710674594,False
ABHD17B,-0.025971198759490777,0.936738170600913,False
ABHD17C,-0.07863913626792186,-0.182668125546808,False
ABHD2,-0.0739008674592741,-0.11452148671565715,False
ABHD3,-0.7703529956644326,0.06968288718974547,False
ABHD4,-0.5319030001560686,0.15620330544533378,False
ABHD5,-0.2787836345542008,0.17940797585405055,False
ABHD6,0.7160136279998348,0.01614029742490071,False
ABHD8,-0.3556502296162269,-0.13810075255339105,False
ABI1,0.11120178533003747,-0.34166148563164406,False
ABI2,0.16984080670052554,0.07986834797495973,False
ABI3BP,-0.1713663080062188,-0.03114185003783837,False
ABITRAM,-0.54996734598385,-0.8762670169457139,False
ABL1,-1.445639298941593,-1.6849925927199798,False
ABL2,0.10228833535761922,0.6839766896871277,False
ABLIM1,0.1992208488556486,0.314860874561094,False
ABLIM2,-0.7824034563253128,-0.1577837947842458,False
ABLIM3,0.5853072549548746,1.0346284150435243,False
ABO,-0.22223259037495302,-0.42160059862309973,False
ABRA,-0.8397166533940069,-0.20244116877298163,False
ABRACL,0.19695193337558733,0.40240979110663166,False
ABRAXAS1,0.5203980202787094,1.0545919741459633,False
ABRAXAS2,0.08198140730634983,0.6948601619723987,False
ABT1,-1.4385550587969669,-1.9564242997887062,False
ABTB1,1.1106555381585546,0.8890145685795332,False
ABTB2,0.4409658217899608,0.23017417737772095,False
ACAA1,-0.9668442929375973,-0.822887364886567,False
ACAA2,-0.3820001969126431,-0.8427029326464544,False
ACACB,0.18787340570511185,0.8999885507305567,False
ACAD10,0.9106675404296516,0.9036335791421752,False
ACAD11,0.15972484803733739,0.2655591594508926,False
ACAD8,-0.27402179248902414,0.10217509461780533,False
ACADL,-1.4164147026389666,-2.224611365503657,False
ACADM,-0.8943246376892428,-0.7886841860982571,False
ACADS,-0.2450483908440788,-0.9376572346441111,False
ACADSB,-0.11470440122734389,-0.05822011125941917,False
ACADVL,0.32739837033532215,0.11920461728547407,False
ACAN,-0.3507595794685215,-0.44470808391781014,False
ACAP1,0.17500657239327788,0.40744105325989544,False
ACAP2,-0.4957253360028541,-0.8760749839315964,False
ACAP3,-0.008028933584090403,-0.2736217542879904,False
ACAT1,0.010929075047302228,0.10544094608447642,False
ACAT2,-0.05345188863081318,-0.45685317870699316,False
ACBD3,0.0968878124427071,-0.28244714301619717,False
ACBD4,-0.8433911255429782,-0.6489306777238899,False
ACBD5,0.3751902701888963,-0.12955236396074155,False
ACBD6,-1.2729171297512234,-1.236780417332223,False
ACBD7,-0.05705070508980439,0.5073977500206874,False
ACCS,0.09104772357905688,-0.2550116120644774,False
ACCSL,0.9470025871252853,0.90674774053681,False
ACD,-0.5814583862641152,-0.6310714601767646,False
ACE,0.32874494246542785,0.2588073701436062,False
ACE2,0.1643040623683138,-0.35573058070069624,False
ACER1,0.6579344407583019,0.8431711070290862,False
ACER2,0.6285393484755291,0.007550986378912078,False
ACER3,0.01225126478401764,0.4847907304560827,False
ACHE,-0.175208124983996,-0.47876300651849285,False
ACIN1,0.3800793448042107,-0.08133379319950546,False
ACKR1,0.20483325494249377,0.845072213298167,False
ACKR2,0.46491186184758215,0.3807620809893319,False
ACKR3,0.5925761983319783,0.48948310835439135,False
ACKR4,0.3814946358810718,0.37117844954645435,False
ACLY,-0.5182783343401367,-0.002517476706886096,False
ACMSD,0.04469148851603255,-0.034161521984445116,False
